"Path in reciprocal space";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up";"up"
0;-40,769428452751136;-40,76914484833615;-40,623606699279456;-40,62359067644375;-40,62350586411535;-40,623489841804904;-27,126708005141303;-17,421756807015758;-17,414823020940823;-16,944160853775138;-16,944102460344027;-16,943367895763128;-16,943309217157022;-16,89907981932451;-16,885885042625105;-16,73380751686693;-16,733690285565732;-16,732638552223246;-16,732521313265263;-16,36347306794891;-16,363309987591524;-16,263158064737034;-16,26310085550052;-16,262361201238367;-16,26230371548577;-7,195093292135234;-7,163751238563449;-7,1637166168473;-5,860535783002212;-5,836257112952756;-5,8362480336262434;-5,818135095471023;-5,81813121635875;-5,800438797884896;-5,800432386350834;-5,790240319059334;-5,7379513889542135;-5,737948697704966;-5,627867915351562;-5,548980119777223;-5,543494550748605;-5,543486408090695;-5,541199327826082;-5,541192535233183;-5,516450334020521;-5,5164463925266105;-5,510946041284235;-5,486090922194224;-5,486090711204591;-5,484365260554934;-5,479726467688482;-5,479724304655842;-5,461635253870295;-5,461633237760461;-5,454748237382152;-5,454744169711546;-5,395319049652998;-5,395316364779725;5,117120396060813;6,372462185332208;7,340809239013822;7,975364008115171;8,253773930351429;9,600002281437895;9,888176674630651;10,575099345454143;11,002270366692244;11,109600408410724;11,109682192185165;12,028765509535628;12,028869527900419;12,39093145422318;12,391001187255533;12,74001139446255;12,74002140043794;12,841588983841426;13,09352202548067;13,09361256607408;13,210645831078642;13,320764331668677;13,320904767388084;13,412277072163441;13,721475618605888;13,721579222207291;14,37340223429515;14,373467246068243;14,410887862725438;15,359589737278295;15,359736989859416;16,419741763309375;16,46526827673511;16,465338985441072;16,555187083870415;16,555264105289357;16,567908523705007;16,576125639405042;16,57619799684841;16,75941927910147;16,759510501322232;16,95833459043455;16,986474721557947;17,194141530991292;18,838666854191324;18,8387823644127
0,05;-40,76864737798605;-40,76836294494517;-40,62438657442149;-40,62437509115639;-40,62352808035818;-40,62351266633516;-27,126706722837678;-17,416591402794076;-17,409687172026388;-16,94352264044371;-16,94274131353889;-16,940552772498133;-16,93976890002626;-16,898199658020143;-16,885068300738443;-16,734614903538738;-16,733715314810958;-16,733528498576067;-16,732544076771326;-16,365980519681354;-16,36582203393828;-16,26975851682811;-16,269019700176873;-16,26456813968468;-16,263768347602575;-7,195109831477415;-7,163647118872961;-7,163560616905465;-5,859958991579487;-5,836330008338517;-5,8360792915180655;-5,819017758172171;-5,818586888702903;-5,800552233203998;-5,800342843266508;-5,789378474454882;-5,7387692726212896;-5,7377425851304;-5,627828985890064;-5,550435074483599;-5,5435762931749775;-5,541934597771935;-5,541053134993531;-5,54071795489577;-5,517323052195443;-5,516479320617542;-5,510097280489941;-5,487277214112298;-5,485893141098804;-5,483998233912858;-5,480292906852964;-5,480016303406081;-5,461508196392422;-5,461216511808537;-5,455510617444923;-5,454261761644098;-5,395047750866435;-5,394364933586919;5,133970035915942;6,383558619183475;7,357447922561133;7,978618371986683;8,24222313732643;9,615576193159788;9,789349211575862;10,586200870998082;11,022173594245325;11,105691651484124;11,199116965647478;11,95981291810049;12,021879391459729;12,379872096945597;12,400420790888418;12,752934612102932;12,759395604033287;12,850050420235831;13,07980457413869;13,10771472514408;13,198364532634576;13,324942566183621;13,334282916591667;13,474888934632594;13,716442851907459;13,733792580820657;14,32529788936713;14,348101999764898;14,353567550126252;15,361443755980577;15,3909297561676;16,411225643131232;16,430897641017395;16,46482037291921;16,523025685049888;16,545446525954375;16,549679468230313;16,581871496786967;16,608801185094688;16,74352921302217;16,75129526417742;16,93546783830893;17,01538735340512;17,274318726418073;18,738536862760913;18,774921079216437
0,1;-40,766313481762964;-40,766042536610634;-40,6267897653698;-40,62678211950014;-40,6235324472632;-40,623516313357214;-27,126703136121503;-17,401346499366152;-17,394558528102923;-16,94165520828942;-16,94089262262719;-16,929875999826173;-16,929104957196582;-16,89552940343004;-16,882611651864067;-16,737107448555918;-16,736274049100135;-16,73370486696194;-16,732534540557037;-16,373853201634848;-16,373704792734173;-16,2894206834688;-16,288789715271744;-16,26848440652691;-16,26766346842193;-7,195155101724761;-7,163403073607569;-7,163043149398246;-5,858325273267644;-5,83655251094392;-5,835575129122564;-5,821538750115631;-5,819896920930291;-5,800887265567541;-5,800074237075847;-5,7870643402355;-5,740985658905059;-5,7371795674927615;-5,627702614157694;-5,552919227654207;-5,543817121107727;-5,540673730833859;-5,539403987437836;-5,539132012632042;-5,5188571097166035;-5,516493612809708;-5,508527069786986;-5,490313738812064;-5,485341113888078;-5,483243348471292;-5,4818716748833225;-5,480834158604819;-5,461245932261154;-5,4600707046370385;-5,457610476206186;-5,453014676650004;-5,394269592230846;-5,391745136574164;5,184301062757316;6,416596780390433;7,406781451160241;7,98667480677452;8,207854548449593;9,556177603608827;9,66119137825829;10,619253712844639;11,079896750116465;11,093770854535737;11,39432598921496;11,806941330984426;12,003752959612836;12,342965451838776;12,427179106258444;12,784643892045047;12,814990249605335;12,873164715049167;13,036961253077369;13,150204452660217;13,167927861908591;13,33978519847676;13,361167849570979;13,562074854751641;13,766475000699351;13,779781846683397;14,169258197759241;14,222744261322296;14,30258344327239;15,364850916402924;15,451539480058345;16,328881041557345;16,38248185499205;16,429778897535183;16,46256438691059;16,470225718476485;16,538992916025858;16,57746073571801;16,694443748144103;16,736413320089717;16,74027182440194;16,873484799399716;17,10212080959277;17,477524974466824;18,585366075124387;18,651022294207717
0,15;-40,76251616835351;-40,76224513850998;-40,630703943678576;-40,63069700134274;-40,62354287559256;-40,623533833380186;-27,126697517685184;-17,376795155852157;-17,37019252597357;-16,938147464814755;-16,937439206912906;-16,912327366693322;-16,911593500080112;-16,89117622947763;-16,878619050517354;-16,74118211919061;-16,740745705178977;-16,733703941856824;-16,732532925201514;-16,38789755355422;-16,387770829651757;-16,321409893643057;-16,32100038832719;-16,27367222631665;-16,27284726505617;-7,195228460841298;-7,162983761158158;-7,162233179750097;-5,855918567442105;-5,836903392914333;-5,834761608009128;-5,825461282099859;-5,821876429793196;-5,801462135953091;-5,799654495909398;-5,78398771699202;-5,743802131005211;-5,736345476118146;-5,627498825050823;-5,55521374864094;-5,5441763957745325;-5,540184441341068;-5,537647740906141;-5,536225251273348;-5,5198384285858175;-5,516320435355368;-5,5071068588491485;-5,49469534568688;-5,484503006478707;-5,484214303853387;-5,482251433951973;-5,482090315088468;-5,461077525786956;-5,460565046190369;-5,458383690085339;-5,45139440642229;-5,393017013376511;-5,387952878013982;5,267439404920715;6,4707911928426345;7,487034005670413;7,993800702989689;8,151365359324435;9,272789654956178;9,733302118486346;10,673458925547646;11,074136374599583;11,16902300844182;11,513309028534836;11,729403392889823;11,980218559019207;12,271473700462947;12,466373873103455;12,829427189887484;12,897537654631998;12,900766585851889;12,967959028332864;13,137924840235561;13,220816607062508;13,370449671877536;13,37204037388885;13,579143384268182;13,810337610995612;13,953675817247735;13,983196089868583;14,078281459574967;14,240553839142132;15,366635392456796;15,48891202394378;16,16961973738414;16,28885478150397;16,32681738128833;16,33653843455329;16,4572808427983;16,53614353263044;16,54530589315824;16,73053072112039;16,76872250035183;16,790737898086274;16,81711348213994;17,242216231104727;17,74963777244369;18,42186445595923;18,495700549945497
0,2;-40,75737938004195;-40,75711783647732;-40,63599058956038;-40,63597598056375;-40,62355539656263;-40,623545886540406;-27,126690438943214;-17,344295929650613;-17,337990184862274;-16,932327639876693;-16,931708463215045;-16,888310571776437;-16,887597633678826;-16,885297891657586;-16,87321390369435;-16,746780442105116;-16,7466783533265;-16,7337022970952;-16,732531455421615;-16,40882684539195;-16,408758992715125;-16,36461829993313;-16,36449361385746;-16,27888985775647;-16,278057160318966;-7,195320891037102;-7,1623831730777345;-7,161211182301316;-5,853123436818029;-5,837335494303147;-5,8336299369172435;-5,830597667124746;-5,824304057141092;-5,802294677688706;-5,799136265925716;-5,781137382762951;-5,745974243396154;-5,735368703828657;-5,627230592984408;-5,5569459761287945;-5,544608412587364;-5,539740635797391;-5,5360626712406695;-5,533489667238945;-5,519406829433332;-5,5157446101861325;-5,506169377711893;-5,500018352631434;-5,486960191571613;-5,483713792524676;-5,483486379396596;-5,481184392673383;-5,46388734463264;-5,461263751175773;-5,456404690951791;-5,449681182095062;-5,391391230163205;-5,383565606794561;5,382244575580315;6,544742768572751;7,595001511328336;7,98781192535228;8,073347936385385;8,987313596446668;9,825154296992952;10,747401861764542;11,04780852400682;11,254035454702704;11,42890763997262;11,862443680316632;11,956797140769941;12,159422306224421;12,510515969295708;12,837216465602063;12,879714614262102;12,943936196429041;13,009306558851355;13,13370082280362;13,318777650154557;13,359220094813688;13,41985870212053;13,638526814776645;13,717223646710385;13,857032383157119;13,946710700926383;14,189361705568443;14,198903021471134;15,36475294182991;15,471491696647375;15,983314952267499;16,121196376549612;16,15618532905896;16,243304600705006;16,448614117039412;16,5072847533734;16,54772192240319;16,707363854842697;16,735274141304547;16,81711612113607;16,925842490588508;17,423768311237566;18,045715368245574;18,22525351454429;18,305439629359746
0,25;-40,751107520825336;-40,7508534848867;-40,642428932612326;-40,642400245141616;-40,62356925147742;-40,623560326742265;-27,126682595118922;-17,306038027739763;-17,300129307662612;-16,923013512993226;-16,922554381737193;-16,878116412000818;-16,86661682028927;-16,858354616025427;-16,857678045544453;-16,754129494468796;-16,75337459307345;-16,733695822934607;-16,732530161682142;-16,436732036592225;-16,436727402234787;-16,417744392570185;-16,41753214703473;-16,283270668031193;-16,28245152340476;-7,195424064497163;-7,161623714245208;-7,160076802541625;-5,850325140775181;-5,837804872436974;-5,836648535620011;-5,832219124300542;-5,826907025533381;-5,803379061824962;-5,798577838705766;-5,7795769408043;-5,746188050547914;-5,734377329808232;-5,6269105681617555;-5,557896390390653;-5,545062901743878;-5,539496775106011;-5,535124245844381;-5,531035120421187;-5,5171760652189175;-5,514597237176951;-5,505944034263575;-5,505868449028246;-5,489670746770581;-5,48564383724192;-5,482423419342576;-5,480218761816639;-5,467160996533359;-5,461986792207927;-5,454349718262385;-5,447958198320264;-5,389556676521044;-5,379081007838343;5,527042767179135;6,63623893346919;7,725638832477834;7,9405202642006385;7,978132814775193;8,738775837093657;9,925404441805483;10,838796031871658;11,01696966337208;11,200166566736787;11,49301376406252;11,936951943878698;11,964892829597693;12,017173587378455;12,551099233173698;12,708810407509928;12,914686465804602;12,93856809145164;13,132029126969433;13,162439947020609;13,38503495639995;13,441833605395226;13,482924872342787;13,486373152572467;13,732137538219186;13,855312000449494;13,902853218434224;14,166695072822643;14,366443703641767;15,358441793400399;15,389835754349175;15,797047386184214;15,945946767444042;15,959726683193894;16,138347538976085;16,4376583762627;16,478284210523285;16,570127271563642;16,63955790489496;16,743935380248267;16,86091354914217;16,983976420258255;17,630577999684345;18,01111451049073;18,075575544911754;18,319544762056818
0,3;-40,743980252446235;-40,74373898659317;-40,64972089169892;-40,649671136493325;-40,623577712111576;-40,62357389570811;-27,12667469427581;-17,265223626702035;-17,25982192550791;-16,90834777722833;-16,90815511799122;-16,869975900109992;-16,859125611896502;-16,823132525524006;-16,822517203897707;-16,762454231234877;-16,76097717660118;-16,73368589441723;-16,73253146785054;-16,478760660055578;-16,47821057768687;-16,471021088707563;-16,470937066326815;-16,286572777583313;-16,285782107725318;-7,195529988595653;-7,160762592882117;-7,158939717191178;-5,848153750866809;-5,842834212358076;-5,838258009828598;-5,830603635139276;-5,829419321059294;-5,8046818633826485;-5,79803814302303;-5,7796663811702755;-5,744077002397227;-5,7334512257964985;-5,626567619710147;-5,557966709818604;-5,54549353230645;-5,539486410931113;-5,534669009553463;-5,528939937001197;-5,513824505992656;-5,512832110898558;-5,512157558657458;-5,506063580927349;-5,491897422792269;-5,487845850275928;-5,481406223441619;-5,479490586288584;-5,4700840303039175;-5,463347411837039;-5,452403613937115;-5,446254016561324;-5,387723411541727;-5,374879437831389;5,699446300127216;6,741713611852098;7,801488384645488;7,871263488097302;7,883899273403673;8,568152736124132;10,016611023609727;10,944037156924505;10,98481355795451;11,10918944966531;11,628656324596008;11,877144099836844;11,922018851265955;12,007393726210797;12,562967933416719;12,581348759959115;12,893512123403944;12,926992801670051;13,163025999570475;13,258458370608324;13,323146246533677;13,462724510634164;13,56241342891685;13,585013414155446;13,820043172351363;13,830754680865942;13,950242418939313;14,182630751561028;14,470673583671305;15,25100390010755;15,347203691779354;15,600533154890702;15,722043579658571;15,854566538974728;16,02134261381426;16,426867709962067;16,462491383162572;16,593911915991217;16,598322140282654;16,75424474842702;16,888594214069876;16,958289695230064;17,789388392163115;17,821668649676035;17,890846432002096;18,52308863627753
0,35;-40,73643984551667;-40,73621127809995;-40,65740674958064;-40,65733932813591;-40,62358998630719;-40,62358387411084;-27,126667608119966;-17,226208280780003;-17,22143450414922;-16,885942749984;-16,885751901695055;-16,861339256377278;-16,851194063159475;-16,78348515891721;-16,78293852164351;-16,77123563599906;-16,768992064722017;-16,733677335729446;-16,73253120673299;-16,545211259535492;-16,544348309447486;-16,51050176620786;-16,510315515160364;-16,288894455663065;-16,288132004574127;-7,195625119064181;-7,159900090613191;-7,157912029214684;-5,850679751511868;-5,844575984094976;-5,838658535143734;-5,831626395955444;-5,82889410339586;-5,806097572091481;-5,797557448247529;-5,780739800116833;-5,740618653526453;-5,732685889974888;-5,626238384874109;-5,557146082717576;-5,5458612040964566;-5,539657664634905;-5,534250599141303;-5,5272626003678065;-5,518286673876179;-5,511728944707663;-5,51056089415132;-5,505103411995262;-5,4933688473577265;-5,490252443964982;-5,480556909149669;-5,479043485178354;-5,472476721310638;-5,4653122007368635;-5,450726477524114;-5,4446465674853615;-5,386097222427015;-5,371299775896964;5,8958236106966275;6,854262735868944;7,5932117986626615;7,770500787342219;8,020246717561898;8,483512275769165;10,077132256463894;10,954986269249686;11,047984106974281;11,057168306660333;11,726452052904861;11,78395285167111;11,911856481743635;12,04459260582495;12,412952188510324;12,598899548534142;12,749360543637682;12,932081526866325;13,101432248279412;13,312867502163718;13,376510643637298;13,536420821414051;13,633492684514191;13,739266461392754;13,852986074811689;13,932225831325841;14,006159475461766;14,236320844110269;14,519542628148757;15,071440066605405;15,329481904725219;15,390335264242962;15,501808231656062;15,823831037490422;15,903744740268023;16,4204892400457;16,459414168765722;16,579677494864555;16,606059005794563;16,764041808557543;16,854778534208812;16,89623554806696;17,57803411731453;17,695263499991007;18,115574201849483;18,60661259917398
0,4;-40,72920281744854;-40,72898664130692;-40,6647604755582;-40,66467689294272;-40,623603121660175;-40,62359103409191;-27,126661990728355;-17,194076744079666;-17,189976054072524;-16,853899391946058;-16,852547832621855;-16,85235280826862;-16,84356163348172;-16,779641039862447;-16,77668049606969;-16,7404013637366;-16,739924383055506;-16,7336575930124;-16,732508378296238;-16,614230541385083;-16,6131247417912;-16,553812350588064;-16,553505328357737;-16,290407442124128;-16,289662961136482;-7,195701209222731;-7,159156266619491;-7,1570968682091225;-5,855793424858288;-5,8432550538457235;-5,838973516216799;-5,833342192423783;-5,827290455689869;-5,807474589326875;-5,79718457049336;-5,781954527228473;-5,737155991177526;-5,73212322695468;-5,6259659671637925;-5,555652935330109;-5,546146342415516;-5,539897354142967;-5,5336969583204505;-5,526209743971791;-5,523644798418402;-5,512574263728383;-5,508036062193118;-5,501647789908679;-5,494184950161199;-5,49274364366093;-5,479968272536844;-5,478826952689701;-5,474200185299566;-5,46762818147713;-5,449440042469743;-5,443293702284966;-5,384832698849695;-5,3685769676905455;6,109451007094389;6,952211132667608;7,370516891495598;7,645153029492048;8,155322074756581;8,450566995970746;10,093863227348029;10,930926632819439;11,016939907128302;11,167510819142372;11,742882046416854;11,773524677296239;11,905623566528268;12,126429924407915;12,273440606287002;12,528898438320205;12,606116589212427;12,93605498365109;13,084675088291052;13,319019471846712;13,474169965223217;13,56980207700768;13,683793416042416;13,88939346867343;13,950565273159647;14,051606258260723;14,072319783366778;14,31299347252224;14,514886374446176;14,872552847269905;15,188222169052533;15,27601630292466;15,334437816768716;15,79966670891348;15,854136913253743;16,424491382511462;16,465462115452024;16,566834273960403;16,593364586750322;16,71727547162424;16,774014008620945;16,888317314137744;17,38272747084746;17,680888225299434;18,30556646007137;18,609411032751535
0,45;-40,72351680477515;-40,72330479332781;-40,67051878043131;-40,670427693953265;-40,62361485459408;-40,623593823750994;-27,126658366428845;-17,173215856119327;-17,16964298498755;-16,846586757360896;-16,837589640325923;-16,80892180220511;-16,80783933093918;-16,786233342756947;-16,782711883985254;-16,73367766258517;-16,732544979356906;-16,695035728177402;-16,694672274055424;-16,68198316030671;-16,68076021374356;-16,599410563672247;-16,598957696030652;-16,291244768134916;-16,29052257904902;-7,19575078363261;-7,158652238369237;-7,156571039318518;-5,859366509935363;-5,842308169819834;-5,8391665775150905;-5,834423347833672;-5,826099052397802;-5,808528106723737;-5,796946988199684;-5,78281732384693;-5,734700496124942;-5,731770073765502;-5,625786336746756;-5,554045874236959;-5,546323133787078;-5,540082343603693;-5,5331456876472025;-5,528308104884712;-5,524947787898749;-5,514008884974099;-5,50571866468161;-5,498229797396187;-5,494979019474984;-5,494633458485778;-5,479645409798334;-5,478753357279089;-5,475190543290725;-5,469711010536411;-5,448630965389598;-5,442382921100001;-5,384040997533638;-5,366868823698006;6,321537665675446;6,940222288588026;7,264563173802692;7,520460359129439;8,253088928082432;8,439402805551888;10,080480868352856;10,91534885367396;11,00602695263094;11,25530144157801;11,722809656551556;11,847032404173493;11,902356856304605;12,16640662947229;12,20888612565833;12,30907499624841;12,6076970731666;12,937239423509569;13,086923959854998;13,315912517276765;13,540292225783404;13,580851327720842;13,708676169752307;14,009182997153383;14,079987404980491;14,131697904505351;14,168956778372806;14,383335608884009;14,474775939734347;14,68587018228234;15,026317753400889;15,139550408545453;15,30068664727679;15,725925645797838;15,909866351599339;16,444474909069452;16,4742156289775;16,553401602113308;16,553770780776407;16,60677017626403;16,77886391588831;16,875616106870897;17,26343380681831;17,76223494477235;18,18336040036588;18,620807776012043
